ad_plan_id,ad_plan_name,id,ag_group_name,spent,SUM из shows,SUM из clicks,total_leads,potential_leads,target_leads,revenue,add_target,CR,CPA
9156544,-комфорт- ПИК / 2-й Иртышский / Щёлково (Б),109550050,Статика / Гео жк 4км / лента,171848.0,1448452,3864,272,72,59,544005.0,0,22.0,2913.0
9156544,-комфорт- ПИК / 2-й Иртышский / Щёлково (Б),109740535,Генерация,62015.0,466129,1580,76,21,21,183208.0,0,28.0,2953.0
9156544,-комфорт- ПИК / 2-й Иртышский / Щёлково (Б),110379619,Копия Статика / Гео жк 4км / лента,52790.0,383052,1024,79,22,21,216333.0,0,27.0,2514.0
9156544,-комфорт- ПИК / 2-й Иртышский / Щёлково (Б),108944876,Статика / Гео жк 4км / лента,26857.0,205291,570,41,15,7,60775.0,0,17.0,3837.0
9156544,-комфорт- ПИК / 2-й Иртышский / Щёлково (Б),110221081,ГПТ новый / Широко,23085.0,155280,600,49,15,11,89908.0,0,22.0,2099.0
9156544,-комфорт- ПИК / 2-й Иртышский / Щёлково (Б),108951505,Клипы / Гео жк 4км / Жен / Котлован,20988.0,77920,85,28,6,4,40541.0,0,14.0,5247.0
9156544,-комфорт- ПИК / 2-й Иртышский / Щёлково (Б),109609412,Копия Новое Крео,16091.0,99043,316,21,6,3,40075.0,0,14.0,5364.0
9156544,-комфорт- ПИК / 2-й Иртышский / Щёлково (Б),108949403,Новые кв / Гео жк 4км / лента,13457.0,98239,311,19,5,2,17550.0,0,11.0,6728.0
9156544,-комфорт- ПИК / 2-й Иртышский / Щёлково (Б),109277708,Новое Крео,12951.0,98047,313,24,3,3,25050.0,0,13.0,4317.0
9156544,-комфорт- ПИК / 2-й Иртышский / Щёлково (Б),108944874,Статика / Гео жк 4км / лента,12087.0,103153,261,20,3,3,17550.0,1,15.0,4029.0
9156544,-комфорт- ПИК / 2-й Иртышский / Щёлково (Б),110151079,ГПТ / Широко,10161.0,74400,416,32,8,8,61567.0,0,25.0,1270.0
9156544,-комфорт- ПИК / 2-й Иртышский / Щёлково (Б),109456490,Копия Новые кв / Гео жк 4км / лента,4799.0,28088,127,8,1,1,8775.0,0,13.0,4799.0
9156544,-комфорт- ПИК / 2-й Иртышский / Щёлково (Б),109456484,Копия Статика / Гео жк 4км / лента,3959.0,28111,95,5,1,0,0.0,0,0.0,
9156544,-комфорт- ПИК / 2-й Иртышский / Щёлково (Б),108944877,Статика / Гео жк 4км / Жен / лента,3273.0,13557,48,3,0,0,0.0,0,0.0,
9156544,-комфорт- ПИК / 2-й Иртышский / Щёлково (Б),110342012,ГПТ клип / Широко,2993.0,14673,16,4,0,0,0.0,0,0.0,
9156544,-комфорт- ПИК / 2-й Иртышский / Щёлково (Б),110065823,Копия Генерация,2876.0,22144,59,1,0,0,0.0,0,0.0,
9156544,-комфорт- ПИК / 2-й Иртышский / Щёлково (Б),110614701,Копия_1 Копия Статика / Гео жк 4км / лента,2063.0,18521,33,2,0,0,0.0,0,0.0,
9156544,-комфорт- ПИК / 2-й Иртышский / Щёлково (Б),108944878,Статика / Гео жк 4км / Муж / лента,1528.0,7172,28,1,0,0,0.0,0,0.0,
9156544,-комфорт- ПИК / 2-й Иртышский / Щёлково (Б),108944875,Статика / Гео жк 4км / лента,1358.0,5254,16,0,0,0,0.0,0,,
9156544,-комфорт- ПИК / 2-й Иртышский / Щёлково (Б),110379704,клип/ Широко,1001.0,5500,19,1,0,0,0.0,0,0.0,
9156544,-комфорт- ПИК / 2-й Иртышский / Щёлково (Б),108951506,Клипы / Гео жк 4км / Жен / Новые кв,985.0,2747,3,0,0,0,0.0,0,,
8967262,-спб-  / ПН Univer City (метро Купчино),108638892,Лента/Клип,152408.0,960998,5809,345,88,69,487160.0,0,20.0,2209.0
8967262,-спб-  / ПН Univer City (метро Купчино),108433867,Интерес покупка новостроек,63196.0,704560,2810,101,26,24,167989.0,0,24.0,2633.0
8967262,-спб-  / ПН Univer City (метро Купчино),110209419,Лента/Клип,51846.0,255907,1563,91,19,15,103700.0,0,16.0,3456.0
8967262,-спб-  / ПН Univer City (метро Купчино),110326806,Лента/Клип,44818.0,215987,1291,72,18,14,107560.0,0,19.0,3201.0
8967262,-спб-  / ПН Univer City (метро Купчино),108417499,Лента/Клип,36625.0,376846,1896,88,29,26,177849.0,0,30.0,1409.0
8967262,-спб-  / ПН Univer City (метро Купчино),110024545,Интерес покупка новостроек,17533.0,186435,693,19,2,2,15360.0,0,11.0,8767.0
8967262,-спб-  / ПН Univer City (метро Купчино),109172379,Копия Лента/Клип,8328.0,60009,375,10,1,1,7680.0,0,10.0,8328.0
8967262,-спб-  / ПН Univer City (метро Купчино),108438905,Проекты вк,2021.0,93634,162,1,1,1,6800.0,0,100.0,2021.0
8967262,-спб-  / ПН Univer City (метро Купчино),110209862,ГЕО LAL,1408.0,8485,47,1,0,0,0.0,0,0.0,
9522404,-комфорт- Гранель | Подмосковье | Ведущий / Клипы *,110020107,Москва/Мо | lal,118349.0,580936,958,174,68,66,398732.0,3,38.0,1793.0
9522404,-комфорт- Гранель | Подмосковье | Ведущий / Клипы *,109916170,Москва/Мо | lal,76706.0,357640,560,103,25,20,164208.0,0,19.0,3835.0
9522404,-комфорт- Гранель | Подмосковье | Ведущий / Клипы *,110020106,Копия_1 Копия Москва/Мо | lal,62458.0,254143,361,64,25,20,148175.0,1,31.0,3123.0
9522404,-комфорт- Гранель | Подмосковье | Ведущий / Клипы *,109916171,Москва/Мо | Широко,24987.0,105322,219,46,16,14,111192.0,0,30.0,1785.0
9522404,-комфорт- Гранель | Подмосковье | Ведущий / Клипы *,110732364,Москва/Мо | Интересы,22065.0,128475,177,31,6,5,29521.0,0,16.0,4413.0
9522404,-комфорт- Гранель | Подмосковье | Ведущий / Клипы *,109916173,РФ интересы,16482.0,204524,503,16,5,3,29875.0,0,19.0,5494.0
9522404,-комфорт- Гранель | Подмосковье | Ведущий / Клипы *,109916172,РФ ключи,15142.0,120115,352,15,6,6,53294.0,0,40.0,2524.0
9522404,-комфорт- Гранель | Подмосковье | Ведущий / Клипы *,109960270,Москва/Мо | lal,14896.0,73088,95,17,4,4,5417.0,2,24.0,3724.0
9522404,-комфорт- Гранель | Подмосковье | Ведущий / Клипы *,110020105,Копия Москва/Мо | lal,10441.0,52751,71,12,2,2,10833.0,0,17.0,5220.0
9522404,-комфорт- Гранель | Подмосковье | Ведущий / Клипы *,110826389,Москва/Мо | Интересы,8258.0,59888,67,4,0,0,0.0,0,0.0,
9522404,-комфорт- Гранель | Подмосковье | Ведущий / Клипы *,110734048,Москва/Мо | Широко,1407.0,18141,14,0,0,0,0.0,0,,
9306949,-комфорт- MR Group Эко Видное,109795709,Крео,47813.0,259697,1103,44,8,4,38596.0,0,9.0,11953.0
9306949,-комфорт- MR Group Эко Видное,109343546,Клип,41536.0,206541,313,39,13,13,105540.0,2,33.0,3195.0
9306949,-комфорт- MR Group Эко Видное,110032716,Крео,40990.0,234665,890,29,2,1,12325.0,0,3.0,40990.0
